#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-07-08T00:50:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62c77f2d143f3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/AJ/157/12&tab:{J/AJ/157/12/table3}&key:source=J/AJ/157/12/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/157/12/table3
#-order=I
#-out=GLON
#-out=GLAT
#-out=RAJ2000
#-out=DEJ2000
#-out=Diam-a
#-out=Diam-b
#-out=Name
#-out=Class1
#-out=Class2
#

#RESOURCE=yCat_51570012
#Name: J/AJ/157/12
#Title: Star clusters, associations, & candidates in the MW (Bica+, 2019)
#Table	J_AJ_157_12_table3:
#Name: J/AJ/157/12/table3
#Title: Clusters, candidates and alike objects
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	RAJ2000	(A8)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Diam-a	(F7.2)	[0.01/4560] Major axis diameter	[ucd=phys.angSize]
#Column	Diam-b	(F7.2)	[0.01/2400] Minor axis diameter	[ucd=phys.angSize]
#Column	Name	(a112)	Chronologically ordered cross-identified designation(s)	[ucd=meta.id.cross]
#Column	Class1	(a5)	Object type (G1)	[ucd=src.class]
#Column	Class2	(A5)	Possible second object type (G1)	[ucd=src.class]
_RAJ2000|_DEJ2000|GLON|GLAT|RAJ2000|DEJ2000|Diam-a|Diam-b|Name|Class1|Class2
269.10833|-30.19750|  0.12| -2.67|17 56 26|-30 11 51|   0.70|   0.70|Cmg 448                                                                                                         |ECC  |
262.10417|-26.36667|  0.13|  4.59|17 28 25|-26 22 00|   1.50|   1.50|Ryu 538                                                                                                         |OC   |
256.28750|-22.70806|  0.13| 11.02|17 05 09|-22 42 29|   7.00|   7.00|NGC 6287,GCL 54,ESO 518-10,FSR 4,MWSC 2533                                                                      |GC   |
266.43750|-28.80250|  0.13|  0.04|17 45 45|-28 48 09|   4.60|   3.40|LMR 0                                                                                                           |ECC  |Assoc
265.55833|-28.30833|  0.14|  0.96|17 42 14|-28 18 30|   0.70|   0.70|DB 29,Dutra-Bica 29                                                                                             |OCC  |Ast
267.32083|-29.24861|  0.14| -0.84|17 49 17|-29 14 55|  12.00|  10.00|Ruprecht 131,OCL 2,ESO 455-45,MWSC 2706                                                                         |OC   |
267.72083|-29.44611|  0.15| -1.24|17 50 53|-29 26 46| 380.00| 380.00|SgrOB5,V Sgr,Sgr V,Assoc 1,MWSC 2716                                                                            |Assoc|
266.50000|-28.81889|  0.15| -0.01|17 46 00|-28 49 08|   0.70|   0.70|VVV 146,VVV-CL 146                                                                                              |OCC  |
261.56667|-26.01139|  0.16|  5.19|17 26 16|-26 00 41|   2.50|   2.50|Ryu 539                                                                                                         |OC   |
266.56250|-28.82694|  0.16| -0.06|17 46 15|-28 49 37|   1.00|   1.00|Quintuplet,AFGL 2004,BDB 2,LMR 1,MWSC 2686                                                                      |EC   |
267.79583|-29.47056|  0.17| -1.31|17 51 11|-29 28 14|   3.00|   3.00|Cmg 450                                                                                                         |ECC  |
266.56250|-28.82694|  0.17| -0.06|17 46 15|-28 49 37|   2.30|   1.70|LMR 1                                                                                                           |Assoc|
272.57500|-31.76361|  0.20| -6.03|18 10 18|-31 45 49|   6.00|   6.00|NGC 6558,Melotte 194,Collinder 368,OCL 3,GCL 89,BH 259,ESO 456-62,MWSC 2831                                     |GC   |
271.19583|-31.11194|  0.21| -4.68|18 04 47|-31 06 43|   2.40|   2.40|Ryu 540                                                                                                         |OC   |
265.82083|-28.33167|  0.25|  0.75|17 43 17|-28 19 54|  20.00|  20.00|HD 160706 Group                                                                                                 |Ast  |
266.54167|-28.71167|  0.25|  0.02|17 46 10|-28 42 42|   3.00|   2.00|The Brick                                                                                                       |EC   |
265.83333|-28.32389|  0.26|  0.75|17 43 20|-28 19 26|   2.50|   2.50|Cmg 451                                                                                                         |OC   |
268.98333|-29.97028|  0.26| -2.46|17 55 56|-29 58 13|   4.00|   4.00|Minni 36,Minniti 36                                                                                             |GCC  |
263.49167|-27.00833|  0.27|  3.20|17 33 58|-27 00 30|   4.00|   4.00|Minni 43,Minniti 43                                                                                             |GCC  |
268.17917|-29.54444|  0.27| -1.64|17 52 43|-29 32 40|   6.00|   4.00|Ruprecht 134,OCL 4,BH 252,ESO 456-1,MWSC 2730                                                                   |OC   |
267.04167|-28.94778|  0.28| -0.46|17 48 10|-28 56 52|   2.00|   2.00|Bica 9                                                                                                          |EC   |
267.55000|-29.20611|  0.28| -0.99|17 50 12|-29 12 22|   0.80|   0.80|DB 3,Dutra-Bica 3                                                                                               |Ast  |OCC
267.21250|-28.94750|  0.29| -0.50|17 48 51|-28 56 51|  21.00|  12.00|LMR 2                                                                                                           |Assoc|
266.77500|-28.78111|  0.30| -0.19|17 47 06|-28 46 52|   0.60|   0.60|DB 4,Dutra-Bica 4,MWSC 2692                                                                                     |Ast  |OCC
266.77917|-28.76806|  0.31| -0.19|17 47 07|-28 46 05|   0.80|   0.80|DB 5,Dutra-Bica 5,MWSC 2693                                                                                     |EC   |
266.78750|-28.77417|  0.31| -0.20|17 47 09|-28 46 27|   1.00|   0.60|DB 6,Dutra-Bica 6,MWSC 2694                                                                                     |EC   |
266.61667|-28.65500|  0.34| -0.01|17 46 28|-28 39 18|   0.35|   0.35|VVV 147,VVV-CL 147                                                                                              |EC   |
267.02917|-28.85222|  0.36| -0.42|17 48 07|-28 51 08|   1.00|   1.00|Ryu 541                                                                                                         |OC   |
265.17917|-27.82472|  0.38|  1.50|17 40 43|-27 49 29|   1.00|   1.00|Minni 47,Minniti 47                                                                                             |GCC  |
265.70417|-28.10833|  0.38|  0.95|17 42 49|-28 06 30|   1.50|   1.50|DB 18,Dutra-Bica 18,MWSC 2665                                                                                   |OCC  |Ast
268.49167|-29.52917|  0.42| -1.86|17 53 58|-29 31 45|   1.00|   1.00|DB 16,Dutra-Bica 16,MWSC 2741                                                                                   |Ast  |OCC
268.10000|-29.29472|  0.45| -1.45|17 52 24|-29 17 41|   4.00|   4.00|Minni 39,Minniti 39                                                                                             |GCC  |
265.84167|-28.09639|  0.46|  0.86|17 43 22|-28 05 47|   0.80|   0.80|Cmg 452                                                                                                         |ECC  |
265.74583|-28.03611|  0.46|  0.96|17 42 59|-28 02 10|   0.80|   0.80|DB 22,Dutra-Bica 22                                                                                             |Ast  |OCC
272.16250|-31.26278|  0.47| -5.48|18 08 39|-31 15 46|   1.50|   1.50|Schmitz J1808.6-3116                                                                                            |OCC  |cPOCR
266.30000|-28.32583|  0.47|  0.40|17 45 12|-28 19 33|   1.00|   1.00|Cmg 453                                                                                                         |EC   |
273.41250|-31.82639|  0.48| -6.68|18 13 39|-31 49 35|   8.00|   8.00|NGC 6569,GCL 91,BH 260,ESO 456-77,MWSC 2844                                                                     |GC   |
265.77500|-28.02667|  0.48|  0.95|17 43 06|-28 01 36|   1.00|   1.00|Bica 10                                                                                                         |ECC  |
266.75833|-28.53611|  0.50| -0.06|17 47 02|-28 32 10|   2.50|   1.60|LMR 3                                                                                                           |EC   |Assoc
289.79583|-37.61111|  0.50|-21.31|19 19 11|-37 36 40|   6.00|   5.00|ESO 337-23,MWSC 3087                                                                                            |lPOCR|OC
267.37500|-28.85694|  0.51| -0.68|17 49 30|-28 51 25|   1.00|   1.00|Ryu 542                                                                                                         |EC   |
266.52917|-28.40444|  0.51|  0.18|17 46 07|-28 24 16|   1.40|   1.00|LMR 4                                                                                                           |EC   |Assoc
260.43333|-24.88667|  0.52|  6.67|17 21 44|-24 53 12|  47.00|  47.00|Theta Oph Group                                                                                                 |Ast  |
266.54167|-28.39083|  0.53|  0.18|17 46 10|-28 23 27|   6.00|   6.00|Cmg 454                                                                                                         |ECC  |
267.27500|-28.75556|  0.54| -0.55|17 49 06|-28 45 20|   5.00|   5.00|ESO 455-44                                                                                                      |OC   |
267.52500|-28.88667|  0.54| -0.81|17 50 06|-28 53 12|   0.40|   0.40|DB 7,Dutra-Bica 7,MWSC 2711                                                                                     |EC   |
266.80417|-28.52139|  0.54| -0.08|17 47 13|-28 31 17|   1.00|   1.00|Cmg 455                                                                                                         |EC   |
267.55000|-28.89556|  0.55| -0.84|17 50 12|-28 53 44|   0.80|   0.80|Bica 12                                                                                                         |EC   |
269.15833|-29.71861|  0.55| -2.46|17 56 38|-29 43 07|   0.60|   0.50|DB 9,Dutra-Bica 9                                                                                               |Ast  |
267.56250|-28.90611|  0.55| -0.85|17 50 15|-28 54 22|   0.70|   0.70|Bica 11                                                                                                         |EC   |
267.52083|-28.87778|  0.55| -0.80|17 50 05|-28 52 40|   1.00|   1.00|DB 8,Dutra-Bica 8,MWSC 2710                                                                                     |EC   |
267.54583|-28.88472|  0.56| -0.82|17 50 11|-28 53 05|   0.60|   0.60|Bica 13                                                                                                         |ECC  |
267.57500|-28.89444|  0.56| -0.85|17 50 18|-28 53 40|   0.80|   0.80|DB 10,Dutra-Bica 10,MWSC 2715                                                                                   |EC   |
267.54583|-28.87861|  0.57| -0.83|17 50 11|-28 52 43|   0.50|   0.50|Bica 14                                                                                                         |ECC  |
266.29167|-28.19944|  0.58|  0.47|17 45 10|-28 11 58|   0.90|   0.90|Cmg 456                                                                                                         |ECC  |
267.60000|-28.88389|  0.58| -0.86|17 50 24|-28 53 02|   1.00|   1.00|DB 11,Dutra-Bica 11,MWSC 2717                                                                                   |EC   |
265.80000|-27.91917|  0.58|  0.98|17 43 12|-27 55 09|   1.00|   0.60|DB 20,Dutra-Bica 20                                                                                             |OCC  |Ast
267.53333|-28.85250|  0.58| -0.80|17 50 08|-28 51 09|   0.70|   0.70|Bica 15                                                                                                         |GCC  |
272.09167|-31.10500|  0.59| -5.35|18 08 22|-31 06 18|   0.80|   0.80|Minni 6,Minniti 6                                                                                               |GCC  |
267.56667|-28.86167|  0.59| -0.83|17 50 16|-28 51 42|   0.90|   0.70|DB 12,Dutra-Bica 12,MWSC 2714                                                                                   |EC   |
267.55833|-28.86028|  0.59| -0.82|17 50 14|-28 51 37|   0.30|   0.30|Bica 16                                                                                                         |EC   |
267.57500|-28.85500|  0.60| -0.84|17 50 18|-28 51 18|   0.30|   0.30|Bica 17                                                                                                         |EC   |
269.01667|-29.58056|  0.61| -2.29|17 56 04|-29 34 50|   4.00|   4.00|Minni 37,Minniti 37                                                                                             |GCC  |
275.09583|-32.40806|  0.62| -8.22|18 20 23|-32 24 29|   4.00|   4.00|Minni 3,Minniti 3                                                                                               |GCC  |
265.82500|-27.89750|  0.62|  0.98|17 43 18|-27 53 51|   0.70|   0.70|DB 21,Dutra-Bica 21                                                                                             |OC   |
267.46667|-28.75833|  0.63| -0.70|17 49 52|-28 45 30|   7.00|   7.00|Collinder 351,OCL 5,MWSC 2705                                                                                   |EC   |
266.17500|-28.05333|  0.64|  0.63|17 44 42|-28 03 12|   4.00|   4.00|Bica 19                                                                                                         |ECC  |
267.64583|-28.84583|  0.64| -0.88|17 50 35|-28 50 45|   0.50|   0.50|Bica 18                                                                                                         |EC   |
275.05417|-32.35167|  0.66| -8.16|18 20 13|-32 21 06|  15.00|  15.00|Ferrero 1,ASCC 96,Slotegraaf 61,MWSC 2893                                                                       |OC   |
266.17500|-28.03278|  0.67|  0.64|17 44 42|-28 01 58|   5.20|   3.90|LMR 5                                                                                                           |EC   |Assoc
266.85000|-28.38306|  0.68| -0.05|17 47 24|-28 22 59|   2.30|   2.30|MWM 49                                                                                                          |EC   |
266.02083|-27.93611|  0.68|  0.81|17 44 05|-27 56 10|   0.35|   0.35|VVV 141,VVV-CL 141                                                                                              |EC   |
268.83750|-29.39167|  0.69| -2.05|17 55 21|-29 23 30|   0.70|   0.60|DB 13,Dutra-Bica 13,MWSC 2748                                                                                   |OCC  |Ast
267.65417|-28.76722|  0.71| -0.85|17 50 37|-28 46 02|   4.00|   4.00|Minni 57,Minniti 57                                                                                             |GCC  |
268.66250|-29.22500|  0.76| -1.84|17 54 39|-29 13 30|   0.50|   0.50|DB 14,Dutra-Bica 14                                                                                             |Ast  |OCC
261.56250|-25.26667|  0.78|  5.61|17 26 15|-25 16 00|   1.70|   1.70|Ryu 154                                                                                                         |OC   |
265.82083|-27.70583|  0.78|  1.08|17 43 17|-27 42 21|   4.00|   4.00|Minni 60,Minniti 60                                                                                             |GCC  |
265.59167|-27.55972|  0.80|  1.34|17 42 22|-27 33 35|   4.00|   4.00|Minni 46,Minniti 46                                                                                             |GCC  |
266.68750|-28.14639|  0.80|  0.20|17 46 45|-28 08 47|   1.40|   1.40|Bica 20                                                                                                         |GCC  |
267.98750|-28.81667|  0.81| -1.12|17 51 57|-28 49 00|   0.70|   0.60|DB 15,Dutra-Bica 15,MWSC 2726                                                                                   |Ast  |
266.71250|-28.12500|  0.83|  0.21|17 46 51|-28 07 30|   4.00|   3.50|LMR 6                                                                                                           |EC   |
268.51250|-29.07556|  0.83| -1.65|17 54 03|-29 04 32|   6.00|   6.00|NGC 6476,ESO 456-8,MWSC 2743                                                                                    |Ast  |
229.02083| +0.11139|  0.85| 45.86|15 16 05|+00 06 41|  10.00|  10.00|Pal 5,Palomar 5,Serpens,GCL 32,MWSC 2282                                                                        |GC   |
265.67083|-27.47444|  0.90|  1.31|17 42 41|-27 28 28|   0.90|   0.90|DB 19,Dutra-Bica 19                                                                                             |OCC  |Ast
266.02083|-27.66778|  0.90|  0.95|17 44 05|-27 40 04|   1.30|   1.30|DB 23,Dutra-Bica 23,MWSC 2671                                                                                   |Ast  |
266.49167|-27.88750|  0.93|  0.48|17 45 58|-27 53 15|   0.80|   0.50|DB 17,Dutra-Bica 17                                                                                             |OCC  |Ast
265.11667|-27.12750|  0.94|  1.92|17 40 28|-27 07 39|   4.00|   4.00|Minni 45,Minniti 45                                                                                             |GCC  |
267.08333|-28.16556|  0.97| -0.11|17 48 20|-28 09 56|   2.10|   2.10|Ryu 543                                                                                                         |EC   |
259.49583|-23.76583|  0.97|  8.00|17 17 59|-23 45 57|   8.00|   8.00|NGC 6325,GCL 58,ESO 519-11,FSR 6,MWSC 2560                                                                      |GC   |
268.12500|-28.66444|  1.00| -1.15|17 52 30|-28 39 52|   5.00|   4.50|Ruprecht 133,OCL 6,ESO 455-57,MWSC 2728                                                                         |lPOCR|OCC
270.89167|-30.03389|  1.02| -3.93|18 03 34|-30 02 02|   4.50|   4.50|NGC 6522,GCL 82,BH 256,ESO 456-43,MWSC 2793                                                                     |GC   |
268.87500|-29.02694|  1.02| -1.90|17 55 30|-29 01 37|   0.90|   0.90|DB 24,Dutra-Bica 24,MWSC 2749                                                                                   |Ast  |OCC
266.85833|-27.95083|  1.05|  0.17|17 47 26|-27 57 03|   4.20|   4.20|Ryu 544                                                                                                         |OC   |
269.72917|-29.39361|  1.08| -2.73|17 58 55|-29 23 37|   0.50|   0.50|DB 25,Dutra-Bica 25,MWSC 2763                                                                                   |OC   |
270.54583|-29.78444|  1.10| -3.54|18 02 11|-29 47 04|   2.40|   2.40|Ryu 155                                                                                                         |OC   |
267.14167|-28.04222|  1.10| -0.09|17 48 34|-28 02 32|   0.80|   0.80|Bica 21                                                                                                         |ECC  |
267.17083|-28.02694|  1.12| -0.10|17 48 41|-28 01 37|   0.40|   0.40|DB 26,Dutra-Bica 26                                                                                             |EC   |
267.16250|-28.00833|  1.14| -0.09|17 48 39|-28 00 30|   3.10|   2.10|LMR 7                                                                                                           |EC   |Assoc
271.20833|-30.05583|  1.14| -4.17|18 04 50|-30 03 21|   4.00|   4.00|NGC 6528,GCL 84,BH 257,ESO 456-48,MWSC 2800                                                                     |GC   |
268.96250|-28.93111|  1.15| -1.92|17 55 51|-28 55 52|   2.00|   2.00|Cmg 457                                                                                                         |ECC  |
266.01250|-27.37583|  1.15|  1.11|17 44 03|-27 22 33|   4.00|   4.00|Minni 55,Minniti 55                                                                                             |GCC  |
268.55000|-28.69806|  1.17| -1.49|17 54 12|-28 41 53|   2.00|   1.50|DB 27,Dutra-Bica 27                                                                                             |Ast  |OCC
268.03333|-28.42028|  1.18| -0.96|17 52 08|-28 25 13|   4.00|   4.00|Minni 35,Minniti 35                                                                                             |GCC  |
268.92083|-28.86722|  1.19| -1.86|17 55 41|-28 52 02|   5.00|   5.00|Cmg 458                                                                                                         |EC   |
270.49167|-29.63194|  1.21| -3.43|18 01 58|-29 37 55|   1.80|   1.80|Ryu 156                                                                                                         |OC   |
261.77917|-24.85500|  1.23|  5.67|17 27 07|-24 51 18|   2.70|   2.70|Ryu 157                                                                                                         |OC   |
268.19583|-28.43472|  1.23| -1.08|17 52 47|-28 26 05|   3.00|   3.00|Ruprecht 168,OCL 7,ESO 456-3,MWSC 2732                                                                          |OC   |lPOCR
270.88333|-29.79083|  1.28| -3.78|18 03 32|-29 47 27|   4.00|   4.00|NGC 6519,ESO 456-41                                                                                             |OCC  |Ast
267.87500|-28.20056|  1.30| -0.73|17 51 30|-28 12 02|   1.50|   1.50|Ryu 545                                                                                                         |OC   |
287.98333|-36.31667|  1.30|-19.52|19 11 56|-36 19 00|  12.00|  12.00|MWSC 5708                                                                                                       |OC   |
267.04167|-27.72694|  1.32|  0.15|17 48 10|-27 43 37|   2.00|   2.00|Cmg 459                                                                                                         |ECC  |
267.36667|-27.89556|  1.33| -0.18|17 49 28|-27 53 44|   2.60|   2.60|Ryu 546                                                                                                         |OC   |
267.04167|-27.72500|  1.33|  0.15|17 48 10|-27 43 30|   1.50|   1.50|Bica 23                                                                                                         |EC   |
267.09167|-27.75278|  1.33|  0.10|17 48 22|-27 45 10|   3.00|   1.50|Bica 22                                                                                                         |ECC  |
267.08333|-27.72806|  1.34|  0.12|17 48 20|-27 43 41|   2.70|   2.40|LMR 8                                                                                                           |Assoc|ECC
267.09167|-27.70861|  1.36|  0.12|17 48 22|-27 42 31|   1.70|   1.70|Bica 24                                                                                                         |ECC  |
268.37083|-28.34778|  1.39| -1.17|17 53 29|-28 20 52|   1.50|   0.90|DB 28,Dutra-Bica 28,MWSC 2738                                                                                   |OC   |
268.54583|-28.93111|  1.40| -1.35|17 54 11|-28 55 52|   4.00|   4.00|Minni 34,Minniti 34                                                                                             |GCC  |
261.22500|-24.32306|  1.40|  6.38|17 24 54|-24 19 23|   1.00|   1.00|B 1                                                                                                             |ECC  |OCC
263.57917|-25.62944|  1.47|  3.88|17 34 19|-25 37 46|   3.10|   3.10|Ryu 547                                                                                                         |OC   |
269.05833|-28.55917|  1.51| -1.81|17 56 14|-28 33 33|   7.00|   7.00|Cmg 460                                                                                                         |ECC  |
270.69583|-29.36667|  1.52| -3.45|18 02 47|-29 22 00|  30.00|  30.00|Alessi J1802.7-2922                                                                                             |Ast  |
265.34167|-26.55556|  1.53|  2.05|17 41 22|-26 33 20|   1.40|   1.40|Ryu 548                                                                                                         |OC   |
278.94167|-32.99028|  1.53|-11.38|18 35 46|-32 59 25|  10.00|  10.00|NGC 6652,GCL 98,ESO 395-11,FSR 7,MWSC 2960                                                                      |GC   |
269.23333|-28.62278|  1.53| -1.97|17 56 56|-28 37 22|   0.70|   0.60|DB 30,Dutra-Bica 30,MWSC 2756                                                                                   |OC   |
280.65000|-33.63000|  1.55|-12.94|18 42 36|-33 37 48|  24.00|  24.00|ASCC 98,MWSC 2979                                                                                               |OC   |
267.70417|-27.78611|  1.57| -0.38|17 50 49|-27 47 10|   0.50|   0.50|DB 31,Dutra-Bica 31,MWSC 2721                                                                                   |OCC  |Ast
287.40000|-35.86250|  1.58|-18.92|19 09 36|-35 51 45|  17.00|  17.00|MWSC 5706                                                                                                       |OC   |
269.77500|-28.81889|  1.60| -2.48|17 59 06|-28 49 08|   2.00|   2.00|Cmg 461                                                                                                         |ECC  |
267.17083|-27.43389|  1.63|  0.20|17 48 41|-27 26 02|   5.00|   5.00|Cmg 462                                                                                                         |EC   |
262.20000|-24.61528|  1.65|  5.48|17 28 48|-24 36 55|   1.40|   1.40|Ryu 158                                                                                                         |OC   |
265.59167|-26.54778|  1.66|  1.87|17 42 22|-26 32 52|   4.00|   4.00|Minni 44,Minniti 44                                                                                             |GCC  |
270.11667|-28.87000|  1.71| -2.77|18 00 28|-28 52 12|   1.00|   1.00|Teutsch J1800.4-2852                                                                                            |Ast  |OCC
277.84583|-32.34806|  1.72|-10.27|18 31 23|-32 20 53|  10.00|  10.00|M 69,NGC 6637,GCL 96,ESO 457-14,FSR 8,MWSC 2936                                                                 |GC   |
268.84167|-28.19222|  1.74| -1.46|17 55 22|-28 11 32|   9.00|   9.00|Cmg 463                                                                                                         |EC   |
268.78333|-28.10028|  1.79| -1.37|17 55 08|-28 06 01|   0.70|   0.70|VVV 154,VVV-CL 154                                                                                              |GCC  |OCC
272.25833|-29.78611|  1.82| -4.84|18 09 02|-29 47 10|   1.60|   1.60|Ryu 549                                                                                                         |OC   |
269.65000|-28.48889|  1.83| -2.22|17 58 36|-28 29 20|   4.00|   4.00|Minni 52,Minniti 52                                                                                             |GCC  |
265.70000|-26.38278|  1.85|  1.87|17 42 48|-26 22 58|   2.40|   2.40|Ryu 159                                                                                                         |OC   |
277.12083|-31.89639|  1.86| -9.52|18 28 29|-31 53 47|   7.00|   7.00|FSR 9,MWSC 2921                                                                                                 |OC   |
